date,file_type,ticker,name,close,mode,mode_css,revl,mom,r,days,tr_weeks,pl_raw,pl_num,signal_type
2026-04-15,daily,^IXIC,Nasdaq Composite,23639.08,Dark Green,c4,21941.72,8.17,0.06,4,0,+4.38%,4.38,Hold
2026-04-15,daily,^SPX,S&P 500,6967.39,Dark Green,c4,6603.41,8.11,,4,0,+2.71%,2.71,Hold
2026-04-15,daily,^FTSE,UK - FTSE 100,10609.06,Dark Green,c4,10309.13,6.63,0.37,7,49,+2.34%,2.34,Hold
2026-04-15,daily,^DAX,Germany - DAX,24044.22,Dark Green,c4,23195.86,4.63,-0.32,4,5,+0.26%,0.26,Hold
2026-04-15,daily,^N225,Japan - Nikkei,57877.39,Dark Green,c4,53768.8,6.89,0.77,4,47,+2.98%,2.98,Hold
2026-04-15,daily,^SSEC,China - SSEC,4026.63,Dark Green,c4,3936.99,2.16,0.28,4,1,+1.49%,1.49,Hold
2026-04-15,daily,^AORD,Australia - AOI,9165.1,Dark Green,c4,8851.18,7.93,-0.33,5,0,+2.73%,2.73,Hold
2026-04-15,daily,^BVSP,Brazil - BOVESPA,198657.33,Dark Green,c4,186167.97,8.34,0.83,13,56,+7.14%,7.14,pP
2026-04-15,daily,$XAUUSD,Gold (spot),4841.81,Bear-Bull Flip,c20,4654.15,1.7,0.88,21,129,+3.64%,3.64,Buy
2026-04-15,daily,$XAGUSD,Silver (spot),79.57,Bear-Bull Flip,c20,72.59,1.08,1.32,21,50,+1.19%,1.19,Buy
2026-04-15,daily,^MERV,Argentina - MERVAL,2950634.5,Light Green,c5,2848873.75,5.63,0.63,12,1,+5.16%,5.16,Hold
2026-04-15,daily,^ATX,Austria - ATX,5898.35,Dark Green,c4,5420.41,8.07,0.7,7,50,+7.70%,7.7,Hold
2026-04-15,daily,^BEL20,Belgium - BEL20,5485.91,Dark Green,c4,5204.95,8.77,0.34,4,0,+1.82%,1.82,pP
2026-04-15,daily,^TSX,Canada - TSX,34102.36,Dark Green,c4,32746.16,7.11,0.59,8,49,+4.34%,4.34,pP
2026-04-15,daily,^STOXX,Stoxx Europe 600,619.95,Dark Green,c4,595.43,7.78,0.26,7,0,+4.42%,4.42,Hold
2026-04-15,daily,^STOXX50,Euro Stoxx 50,5984.51,Dark Green,c4,5702.4,6.61,0.2,7,0,+5.51%,5.51,Hold
2026-04-15,daily,^CAC,France - CAC40,8321.5,Dark Green,c4,7971.97,7.12,-0.27,4,0,+0.59%,0.59,Hold
2026-04-15,daily,^HSI,Hong Kong - HSI,25872.33,Dark Green,c4,25262.46,2.79,0.2,4,4,+0.45%,0.45,Hold
